Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator World Wide Web Address,Bounding Box,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Parent Identifier,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Format,Resource Identifier,Resource Identifier Type,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2006,147.9.xml,1.0,17.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,193.0,1.0,1.0,1.0,1.0
2006,148.10.xml,1.0,5.0,1.0,4.0,4.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,210.0,0.0,0.0,0.0,1.0
2006,148.17.xml,1.0,5.0,1.0,4.0,4.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,208.0,0.0,0.0,0.0,1.0
2006,148.18.xml,1.0,5.0,1.0,4.0,4.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,208.0,0.0,0.0,0.0,1.0
2006,148.19.xml,1.0,5.0,1.0,4.0,4.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,208.0,0.0,0.0,0.0,1.0
2006,148.2.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0
2006,148.21.xml,1.0,5.0,1.0,4.0,4.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,208.0,0.0,0.0,0.0,1.0
2006,149.1.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0
2006,149.10.xml,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,95.0,0.0,0.0,0.0,3.0
2006,149.11.xml,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,95.0,0.0,0.0,0.0,3.0
2006,149.12.xml,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,95.0,0.0,0.0,0.0,3.0
2006,149.14.xml,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,169.0,0.0,0.0,0.0,3.0
2006,149.3.xml,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,114.0,0.0,0.0,0.0,3.0
