XPath,109.1.xml,109.24022.xml,109.25876.xml,109.38654.xml,109.39042.xml,146.21782.xml,146.23235.xml,200.67067.xml,200.69599.xml,200.71194.xml,27.46605.xml,27.49160.xml,27.50402.xml,289.1.xml,289.65273.xml,289.65734.xml,289.65738.xml,289.65909.xml,47.1.xml,47.55182.xml,47.56887.xml,48.74033.xml,48.75280.xml,96.36018.xml,96.36163.xml,96.36663.xml,96.37521.xml
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,4.0,4.0,4.0,4.0,4.0,17.0,17.0,10.0,10.0,10.0,11.0,11.0,11.0,17.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0,16.0,9.0,9.0,9.0,9.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,0.0,4.0,4.0,4.0,4.0,17.0,17.0,10.0,10.0,10.0,11.0,11.0,11.0,0.0,12.0,12.0,12.0,12.0,0.0,16.0,16.0,16.0,16.0,9.0,9.0,9.0,9.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,4.0,4.0,4.0,4.0,4.0,17.0,17.0,10.0,10.0,10.0,11.0,11.0,11.0,17.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0,16.0,9.0,9.0,9.0,9.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,25.0,0.0,0.0,0.0,0.0,9.0,9.0,5.0,5.0,11.0,14.0,14.0,14.0,2.0,8.0,8.0,8.0,8.0,0.0,5.0,5.0,9.0,9.0,3.0,3.0,4.0,4.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,23.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,7.0,13.0,12.0,12.0,12.0,2.0,8.0,8.0,8.0,8.0,0.0,5.0,5.0,9.0,9.0,3.0,3.0,5.0,5.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,2.0,7.0,7.0,6.0,6.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
