XPath,CCE_2007_EML,CCE_2010_EML,CCE_2015_EML,CCE_2016_EML,CCE_2017_EML,CCE_2018_EML
/eml:eml/dataset/intellectualRights/section/para,0.0,0.0,1.0,0.0,0.0,0.0
/eml:eml/dataset/intellectualRights/section/title,0.0,0.0,1.0,0.0,0.0,0.0
/eml:eml/dataset/keywordSet/keyword,0.5,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/keywordSet/keywordThesaurus,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/address/administrativeArea,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/address/city,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/address/country,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/address/deliveryPoint,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/address/postalCode,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/organizationName,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/methods/methodStep/description/para,0.5,0.25,0.725,0.0,0.6136363636363636,0.25
/eml:eml/dataset/methods/methodStep/description/section/para,0.0,0.375,0.725,0.9117647058823528,0.6477272727272727,1.0
/eml:eml/dataset/methods/methodStep/description/section/title,0.0,0.375,0.725,0.9117647058823528,0.6477272727272727,1.0
/eml:eml/dataset/methods/methodStep/instrumentation,0.0,0.0,0.0,0.014705882352941175,0.0,0.0
/eml:eml/dataset/methods/methodStep/protocol/@scope,0.0,0.0,0.725,0.0,0.0,0.0
/eml:eml/dataset/methods/methodStep/protocol/creator/@scope,0.0,0.0,0.725,0.0,0.0,0.0
/eml:eml/dataset/methods/methodStep/protocol/creator/individualName/surName,0.0,0.0,0.725,0.0,0.0,0.0
/eml:eml/dataset/methods/methodStep/protocol/creator/organizationName,0.0,0.0,0.0,0.5882352941176471,0.6136363636363636,0.25
/eml:eml/dataset/methods/methodStep/protocol/distribution/@scope,0.0,0.0,0.725,0.0,0.0,0.0
/eml:eml/dataset/methods/methodStep/protocol/distribution/online/url,0.0,0.0,0.725,0.5882352941176471,0.6136363636363636,0.25
/eml:eml/dataset/methods/methodStep/protocol/distribution/online/url/@function,0.0,0.0,0.725,0.5882352941176471,0.6136363636363636,0.25
/eml:eml/dataset/methods/methodStep/protocol/title,0.0,0.0,0.725,0.5882352941176471,0.6136363636363636,0.25
/eml:eml/dataset/methods/sampling/samplingDescription/para,0.0,0.25,0.0,0.0,0.0,0.0
/eml:eml/dataset/methods/sampling/samplingDescription/section/para,0.0,0.375,0.0,0.0,0.0,0.0
/eml:eml/dataset/methods/sampling/samplingDescription/section/title,0.0,0.375,0.0,0.0,0.0,0.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/@scope,0.5,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/@scope,0.5,0.875,0.0,0.0,0.0,0.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.5,0.75,0.0,0.0,0.0,0.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.5,0.75,0.0,0.0,0.0,0.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.5,0.75,0.0,0.0,0.0,0.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.5,0.75,0.0,0.0,0.0,0.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/datasetGPolygon/datasetGPolygonOuterGRing/gRingPoint/gRingLatitude,0.5,0.625,0.0,0.0,0.0,0.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/datasetGPolygon/datasetGPolygonOuterGRing/gRingPoint/gRingLongitude,0.5,0.625,0.0,0.0,0.0,0.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/geographicDescription,0.5,0.75,0.0,0.0,0.0,0.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/temporalCoverage/@scope,0.0,0.375,0.0,0.0,0.0,0.0
