XPath,4009.2.xml,5019.1.xml,5022.1.xml,5022.9.xml,5023.1.xml,5023.2.xml,5024.10.xml,5025.10.xml,6.55.xml
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum/@exclusive,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum/@exclusive,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,5.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0
/eml:eml/dataset/dataTable/attributeList/attribute/storageType,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,5.0
/eml:eml/dataset/dataTable/attributeList/attribute/storageType/@typeSystem,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/constraint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/constraint/primaryKey/constraintName,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/constraint/primaryKey/key/attributeReference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
