XPath,AND_2005_EML,AND_2006_EML,AND_2007_EML,AND_2008_EML,AND_2009_EML,AND_2010_EML,AND_2011_EML,AND_2012_EML,AND_2013_EML,AND_2014_EML,AND_2015_EML,AND_2016_EML,AND_2017_EML,AND_2018_EML
/eml:eml/dataset/associatedParty/address/administrativeArea,0.9510869565217392,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.9837398373983741,1.0,0.9333333333333332,1.0
/eml:eml/dataset/associatedParty/address/city,0.9510869565217392,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.9837398373983741,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/address/country,0.9510869565217392,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.9166666666666666,1.0,1.0,0.9333333333333332,1.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,0.9402173913043478,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.9837398373983741,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/address/postalCode,0.9347826086956522,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.9674796747967479,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/electronicMailAddress,0.9510869565217392,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/individualName/givenName,0.9565217391304348,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/individualName/surName,0.9565217391304348,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/onlineUrl,0.3478260869565217,0.6428571428571429,0.3684210526315789,1.0,1.0,1.0,0.0,1.0,0.4444444444444444,0.4166666666666667,0.3333333333333333,0.5454545454545454,0.8666666666666667,0.0
/eml:eml/dataset/associatedParty/phone,0.9402173913043478,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.8333333333333334,0.951219512195122,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/phone/@phonetype,0.6304347826086957,0.5714285714285714,0.3684210526315789,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/role,0.9565217391304348,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/userId,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0
/eml:eml/dataset/associatedParty/userId/@directory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0
/eml:eml/dataset/contact/@scope,0.6739130434782609,0.5714285714285714,0.4736842105263158,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/@scope,0.6739130434782609,0.5714285714285714,0.3684210526315789,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,0.9782608695652174,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/city,0.9836956521739132,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/country,0.9565217391304348,1.0,0.8421052631578947,0.6666666666666666,0.0,0.0,1.0,0.3333333333333333,0.4444444444444444,0.25,1.0,1.0,0.06666666666666668,0.0
/eml:eml/dataset/contact/address/deliveryPoint,0.9619565217391304,1.0,0.8421052631578947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/postalCode,0.9565217391304348,1.0,0.8421052631578947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,0.9891304347826086,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/givenName,0.9836956521739132,1.0,0.8421052631578947,0.6666666666666666,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.8699186991869918,0.7878787878787878,0.3333333333333333,0.0
/eml:eml/dataset/contact/individualName/surName,0.9836956521739132,1.0,0.8421052631578947,0.6666666666666666,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.8699186991869918,0.7878787878787878,0.3333333333333333,0.0
/eml:eml/dataset/contact/onlineUrl,0.6141304347826086,0.5714285714285714,0.7894736842105263,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/organizationName,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9918699186991871,0.8787878787878788,0.0,0.0
/eml:eml/dataset/contact/phone,0.9565217391304348,1.0,0.8421052631578947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone/@phonetype,1.0,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/positionName,0.48369565217391297,0.5714285714285714,0.6842105263157895,0.3333333333333333,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/userId,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030307,0.06666666666666668,0.0
/eml:eml/dataset/contact/userId/@directory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030307,0.06666666666666668,0.0
