XPath,PIE_2005_EML,PIE_2007_EML,PIE_2009_EML,PIE_2010_EML,PIE_2011_EML,PIE_2012_EML,PIE_2013_EML,PIE_2014_EML,PIE_2015_EML,PIE_2016_EML,PIE_2017_EML,PIE_2018_EML
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankValue,0.09316770186335403,0.5268817204301075,1.0,0.125,0.3333333333333333,0.5466666666666666,0.2,0.0,0.3412322274881517,0.3928571428571429,0.6666666666666666,0.05263157894736842
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankName,0.09316770186335403,0.5268817204301075,1.0,0.125,0.3333333333333333,0.5466666666666666,0.18461538461538465,0.0,0.33649289099526064,0.38392857142857145,0.6666666666666666,0.05263157894736842
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankValue,0.09316770186335403,0.5268817204301075,1.0,0.125,0.3333333333333333,0.5466666666666666,0.18461538461538465,0.0,0.33649289099526064,0.38392857142857145,0.6666666666666666,0.05263157894736842
/eml:eml/dataset/coverage/temporalCoverage/@scope,0.546583850931677,0.3548387096774194,0.2,0.3125,0.3333333333333333,0.21333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,0.9006211180124224,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,1.0,0.9004739336492891,1.0,1.0,0.9473684210526316
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,0.9006211180124224,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,1.0,0.9004739336492891,1.0,1.0,0.9473684210526316
/eml:eml/dataset/coverage/temporalCoverage/singleDateTime/calendarDate,0.09937888198757763,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.0995260663507109,0.0,0.0,0.05263157894736842
/eml:eml/dataset/creator/@id,0.6770186335403726,0.8817204301075269,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,0.05263157894736842
/eml:eml/dataset/creator/@scope,0.546583850931677,0.3548387096774194,0.2,0.3125,0.3333333333333333,0.21333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/@scope,0.5341614906832298,0.3548387096774194,0.2,0.3125,0.3333333333333333,0.21333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/administrativeArea,0.9875776397515528,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333332,0.995260663507109,1.0,1.0,1.0
/eml:eml/dataset/creator/address/city,0.9875776397515528,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333332,0.995260663507109,1.0,1.0,1.0
/eml:eml/dataset/creator/address/country,0.9875776397515528,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666668,0.990521327014218,1.0,1.0,1.0
/eml:eml/dataset/creator/address/deliveryPoint,0.9875776397515528,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333332,0.995260663507109,1.0,1.0,1.0
