XPath,HBR_2005_EML,HBR_2007_EML,HBR_2008_EML,HBR_2010_EML,HBR_2015_EML,HBR_2016_EML,HBR_2017_EML,HBR_2018_EML
/eml:eml/dataset/contact/individualName/salutation,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/individualName/surName,1.0,1.0,1.0,1.0,0.0,0.006578947368421052,0.0,0.0
/eml:eml/dataset/contact/onlineUrl,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/organizationName,0.7588235294117647,1.0,1.0,1.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/phone,0.9882352941176472,0.4444444444444444,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone/@phonetype,0.9882352941176472,0.4444444444444444,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/positionName,0.12352941176470587,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/@scope,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,0.5176470588235295,0.0,0.0,1.0,0.5384615384615384,0.3355263157894737,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,0.5176470588235295,0.0,0.0,1.0,0.5384615384615384,0.3355263157894737,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,0.5176470588235295,0.0,0.0,1.0,0.5384615384615384,0.3355263157894737,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.9529411764705882,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.9529411764705882,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.9529411764705882,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.9529411764705882,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/@scope,0.9705882352941176,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/alternativeTimeScale/timeScaleAgeEstimate,0.7941176470588235,0.4444444444444444,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/alternativeTimeScale/timeScaleName,0.7941176470588235,0.4444444444444444,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,0.08823529411764706,0.5555555555555556,1.0,0.0,1.0,0.8618421052631579,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/alternativeTimeScale/timeScaleAgeEstimate,0.8588235294117647,0.4444444444444444,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/alternativeTimeScale/timeScaleName,0.8588235294117647,0.4444444444444444,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,0.023529411764705882,0.5555555555555556,1.0,0.0,1.0,0.8618421052631579,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/singleDateTime/calendarDate,0.08823529411764706,0.0,0.0,0.0,0.0,0.11842105263157895,0.0,0.0
/eml:eml/dataset/creator/@scope,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/@scope,0.7764705882352941,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/administrativeArea,0.7764705882352941,0.8888888888888888,1.0,0.0,1.0,0.9736842105263158,1.0,1.0
/eml:eml/dataset/creator/address/city,0.7764705882352941,0.8888888888888888,1.0,0.0,1.0,0.9736842105263158,1.0,1.0
