Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator World Wide Web Address,Bounding Box,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Place Keyword,Process Step,Project Name,Publication Date,Publisher,Purpose,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2016,255.2.xml,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,25.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,195.0,0.0,0.0,0.0,1.0
2016,26.8.xml,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,128.0,0.0,0.0,0.0,1.0
2016,260.2.xml,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,31.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,211.0,0.0,0.0,0.0,1.0
2016,27.8.xml,1.0,12.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,108.0,0.0,0.0,0.0,1.0
2016,28.8.xml,1.0,43.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,242.0,0.0,0.0,0.0,1.0
2016,29.8.xml,1.0,38.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,237.0,0.0,0.0,0.0,0.0
2016,29.9.xml,1.0,38.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,238.0,0.0,0.0,0.0,1.0
2016,3.10.xml,1.0,59.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,18.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,243.0,0.0,0.0,0.0,1.0
2016,30.8.xml,1.0,46.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,244.0,0.0,0.0,0.0,1.0
2016,32.7.xml,1.0,40.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,224.0,0.0,0.0,0.0,1.0
2016,33.8.xml,1.0,15.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1063.0,0.0,0.0,0.0,1.0
2016,34.8.xml,1.0,13.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,113.0,0.0,0.0,0.0,1.0
2016,35.5.xml,1.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,104.0,0.0,0.0,0.0,1.0
2016,37.7.xml,1.0,37.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,151.0,0.0,0.0,0.0,1.0
2016,38.7.xml,1.0,19.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,110.0,0.0,0.0,0.0,1.0
2016,38.8.xml,1.0,19.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,110.0,0.0,0.0,0.0,1.0
2016,4.9.xml,1.0,19.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,106.0,0.0,0.0,0.0,1.0
2016,400.1.xml,1.0,19.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,126.0,0.0,0.0,0.0,0.0
2016,42.5.xml,1.0,9.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,115.0,0.0,0.0,0.0,1.0
