Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Process Step,Project Name,Publication Date,Publisher,Publisher E-Mail,Publisher URL,Purpose,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Quality Description,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2015,152.762250.xml,1.0,29.0,1.0,1.0,1.0,1.0,1.0,12.0,2.0,2.0,1.0,11.0,1.0,1.0,1.0,0.0,16.0,2.0,0.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,12.0,1.0,0.0,1.0,210.0,9.0,9.0,1.0,11.0
2015,153.537769.xml,1.0,20.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,8.0,4.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,170.0,0.0,0.0,0.0,0.0
2015,154.1087646.xml,1.0,43.0,1.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,34.0,5.0,0.0,1.0,1.0,1.0,0.0,9.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,246.0,0.0,0.0,0.0,0.0
2015,154.1791886.xml,1.0,43.0,1.0,2.0,2.0,0.0,2.0,30.0,4.0,2.0,1.0,30.0,1.0,1.0,1.0,0.0,34.0,5.0,0.0,1.0,1.0,1.0,30.0,9.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,30.0,1.0,1.0,1.0,274.0,29.0,29.0,1.0,30.0
2015,154.1792000.xml,1.0,43.0,1.0,1.0,1.0,0.0,1.0,30.0,4.0,2.0,1.0,26.0,1.0,1.0,1.0,1.0,19.0,2.0,0.0,1.0,1.0,1.0,26.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,30.0,1.0,1.0,1.0,257.0,29.0,29.0,1.0,26.0
2015,155.2650476.xml,1.0,177.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,26.0,5.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,479.0,0.0,0.0,0.0,0.0
2015,155.2650500.xml,1.0,177.0,1.0,1.0,1.0,0.0,1.0,12.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,0.0,10.0,2.0,0.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,12.0,1.0,0.0,1.0,475.0,9.0,9.0,1.0,11.0
2015,156.977382.xml,1.0,17.0,3.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,0.0,26.0,6.0,0.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,148.0,5.0,5.0,1.0,5.0
2015,156.977400.xml,1.0,17.0,3.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,0.0,14.0,2.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,167.0,5.0,5.0,1.0,5.0
2015,157.759369.xml,1.0,11.0,2.0,2.0,2.0,0.0,2.0,12.0,2.0,2.0,1.0,12.0,1.0,2.0,2.0,0.0,6.0,3.0,0.0,1.0,1.0,1.0,12.0,8.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,1.0,0.0,1.0,165.0,9.0,9.0,1.0,12.0
2015,157.759400.xml,1.0,11.0,2.0,1.0,1.0,0.0,1.0,12.0,2.0,2.0,1.0,11.0,1.0,2.0,2.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,12.0,1.0,0.0,1.0,136.0,9.0,9.0,1.0,11.0
2015,158.720463.xml,1.0,18.0,2.0,2.0,2.0,0.0,2.0,0.0,5.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,24.0,5.0,0.0,1.0,1.0,1.0,0.0,10.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,160.0,0.0,0.0,0.0,0.0
2015,158.720500.xml,1.0,18.0,2.0,1.0,1.0,0.0,1.0,4.0,5.0,2.0,1.0,4.0,1.0,2.0,2.0,0.0,9.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,154.0,2.0,2.0,1.0,4.0
2015,16.495635.xml,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,135.0,1.0,1.0,1.0,1.0
2015,16.497383.xml,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,0.0,18.0,5.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,151.0,1.0,1.0,1.0,1.0
